[05:39:15] 캐시 로드: 0개 완료 항목
[05:39:15] ==============================================================
[05:39:15]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:39:15]   precision: 5 → 7 | 세분화 임계: 400건
[05:39:15]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260731
[05:39:15] ==============================================================
[05:39:15] 지오해시 타일: 16891개 (precision=5)
[05:39:15] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:39:25]   읍면동 18401개 확인
[05:39:57]   100/18401동 | 2,210건 | 43s
[05:40:04]   200/18401동 | 2,526건 | 50s
[05:40:23]   300/18401동 | 3,887건 | 68s
[05:40:59]   400/18401동 | 7,112건 | 105s
[05:42:14]   500/18401동 | 13,140건 | 179s
[05:43:48]   600/18401동 | 20,905건 | 273s
[05:46:26]   700/18401동 | 24,767건 | 432s
[05:47:12]   800/18401동 | 27,730건 | 478s
[05:47:48]   900/18401동 | 29,918건 | 514s
[05:48:03]   1000/18401동 | 30,672건 | 529s
[05:48:47]   1100/18401동 | 33,239건 | 572s
[05:50:17]   1200/18401동 | 38,551건 | 662s
[05:52:29]   1300/18401동 | 44,530건 | 794s
[05:52:41]   1400/18401동 | 47,574건 | 806s
[05:53:11]   1500/18401동 | 48,890건 | 836s
[05:54:06]   1600/18401동 | 52,508건 | 891s
[05:54:26]   1700/18401동 | 53,320건 | 911s
[05:55:10]   1800/18401동 | 56,013건 | 956s
[05:55:43]   1900/18401동 | 58,389건 | 989s
[05:56:07]   2000/18401동 | 58,389건 | 1013s
[05:57:32]   2100/18401동 | 61,368건 | 1098s
[05:58:12]   2200/18401동 | 63,436건 | 1138s
[05:59:20]   2300/18401동 | 68,868건 | 1206s
[06:01:46]   2400/18401동 | 75,567건 | 1352s
[06:02:49]   2500/18401동 | 76,262건 | 1415s
[06:05:44]   2600/18401동 | 82,276건 | 1590s
[06:06:50]   2700/18401동 | 87,913건 | 1655s
[06:07:17]   2800/18401동 | 88,850건 | 1682s
[06:08:04]   2900/18401동 | 90,042건 | 1729s
[06:08:39]   3000/18401동 | 91,557건 | 1764s
[06:08:54]   3100/18401동 | 91,557건 | 1779s
[06:09:01]   3200/18401동 | 91,597건 | 1787s
[06:09:40]   3300/18401동 | 92,226건 | 1825s
[06:10:26]   3400/18401동 | 92,226건 | 1871s
[06:11:37]   3500/18401동 | 95,296건 | 1943s
[06:12:36]   3600/18401동 | 96,336건 | 2001s
[06:13:38]   3700/18401동 | 97,256건 | 2064s
[06:14:43]   3800/18401동 | 99,474건 | 2128s
[06:15:04]   3900/18401동 | 99,533건 | 2149s
[06:15:07]   4000/18401동 | 99,577건 | 2153s
[06:15:13]   4100/18401동 | 100,015건 | 2159s
[06:15:21]   4200/18401동 | 100,398건 | 2166s
[06:15:24]   4300/18401동 | 100,428건 | 2170s
[06:15:33]   4400/18401동 | 100,551건 | 2178s
[06:16:02]   4500/18401동 | 101,423건 | 2208s
[06:16:14]   4600/18401동 | 101,543건 | 2220s
[06:16:17]   4700/18401동 | 101,549건 | 2223s
[06:16:22]   4800/18401동 | 101,615건 | 2227s
[06:16:26]   4900/18401동 | 101,615건 | 2231s
[06:16:29]   5000/18401동 | 101,648건 | 2235s
[06:16:32]   5100/18401동 | 101,653건 | 2237s
[06:16:34]   5200/18401동 | 101,653건 | 2240s
[06:16:36]   5300/18401동 | 101,653건 | 2242s
[06:16:39]   5400/18401동 | 101,653건 | 2244s
[06:16:56]   5500/18401동 | 101,815건 | 2261s
[06:16:59]   5600/18401동 | 101,816건 | 2264s
[06:17:01]   5700/18401동 | 101,833건 | 2267s
[06:17:13]   5800/18401동 | 102,485건 | 2278s
[06:17:21]   5900/18401동 | 102,552건 | 2287s
[06:17:25]   6000/18401동 | 102,553건 | 2290s
[06:17:40]   6100/18401동 | 102,752건 | 2306s
[06:18:07]   6200/18401동 | 104,617건 | 2333s
[06:18:12]   6300/18401동 | 104,637건 | 2337s
[06:18:14]   6400/18401동 | 104,637건 | 2339s
[06:21:17]   6500/18401동 | 107,521건 | 2522s
[06:21:28]   6600/18401동 | 107,612건 | 2534s
[06:21:34]   6700/18401동 | 107,673건 | 2539s
[06:21:49]   6800/18401동 | 107,919건 | 2555s
[06:21:58]   6900/18401동 | 107,919건 | 2563s
[06:22:02]   7000/18401동 | 107,966건 | 2568s
[06:22:07]   7100/18401동 | 107,966건 | 2572s
[06:22:11]   7200/18401동 | 108,018건 | 2577s
[06:22:14]   7300/18401동 | 108,018건 | 2580s
[06:22:18]   7400/18401동 | 108,027건 | 2584s
[06:22:22]   7500/18401동 | 108,030건 | 2588s
[06:22:29]   7600/18401동 | 108,163건 | 2594s
[06:22:32]   7700/18401동 | 108,356건 | 2598s
[06:22:38]   7800/18401동 | 108,449건 | 2603s
[06:22:41]   7900/18401동 | 108,455건 | 2606s
[06:22:44]   8000/18401동 | 108,455건 | 2609s
[06:23:00]   8100/18401동 | 108,639건 | 2625s
[06:23:04]   8200/18401동 | 108,703건 | 2630s
[06:23:11]   8300/18401동 | 108,703건 | 2636s
[06:23:21]   8400/18401동 | 108,823건 | 2646s
[06:23:26]   8500/18401동 | 108,823건 | 2651s
[06:23:37]   8600/18401동 | 108,970건 | 2663s
[06:23:50]   8700/18401동 | 109,292건 | 2675s
[06:23:53]   8800/18401동 | 109,292건 | 2679s
[06:23:57]   8900/18401동 | 109,296건 | 2682s
[06:24:00]   9000/18401동 | 109,297건 | 2685s
[06:24:03]   9100/18401동 | 109,297건 | 2688s
[06:24:06]   9200/18401동 | 109,298건 | 2691s
[06:24:09]   9300/18401동 | 109,301건 | 2694s
[06:24:12]   9400/18401동 | 109,301건 | 2698s
[06:24:15]   9500/18401동 | 109,305건 | 2701s
[06:24:18]   9600/18401동 | 109,305건 | 2703s
[06:24:20]   9700/18401동 | 109,306건 | 2706s
[06:24:23]   9800/18401동 | 109,306건 | 2709s
[06:24:26]   9900/18401동 | 109,307건 | 2711s
[06:24:29]   10000/18401동 | 109,310건 | 2714s
[06:24:32]   10100/18401동 | 109,310건 | 2717s
[06:24:35]   10200/18401동 | 109,311건 | 2720s
[06:24:38]   10300/18401동 | 109,312건 | 2723s
[06:24:40]   10400/18401동 | 109,314건 | 2726s
[06:24:43]   10500/18401동 | 109,314건 | 2729s
[06:24:54]   10600/18401동 | 109,427건 | 2740s
[06:24:58]   10700/18401동 | 109,427건 | 2743s
[06:25:01]   10800/18401동 | 109,427건 | 2746s
[06:25:52]   10900/18401동 | 110,800건 | 2797s
[06:26:00]   11000/18401동 | 111,040건 | 2806s
[06:26:17]   11100/18401동 | 111,040건 | 2822s
[06:26:23]   11200/18401동 | 111,106건 | 2829s
[06:26:26]   11300/18401동 | 111,107건 | 2832s
[06:26:30]   11400/18401동 | 111,107건 | 2835s
[06:27:57]   11500/18401동 | 113,667건 | 2922s
[06:28:19]   11600/18401동 | 113,785건 | 2945s
[06:28:37]   11700/18401동 | 114,047건 | 2962s
[06:28:44]   11800/18401동 | 114,082건 | 2969s
[06:28:47]   11900/18401동 | 114,082건 | 2972s
[06:28:50]   12000/18401동 | 114,100건 | 2976s
[06:28:53]   12100/18401동 | 114,100건 | 2979s
[06:28:57]   12200/18401동 | 114,101건 | 2982s
[06:29:00]   12300/18401동 | 114,106건 | 2985s
[06:29:02]   12400/18401동 | 114,113건 | 2988s
[06:29:06]   12500/18401동 | 114,113건 | 2991s
[06:29:09]   12600/18401동 | 114,133건 | 2995s
[06:29:13]   12700/18401동 | 114,133건 | 2998s
[06:29:16]   12800/18401동 | 114,133건 | 3001s
[06:29:19]   12900/18401동 | 114,147건 | 3005s
[06:29:22]   13000/18401동 | 114,147건 | 3007s
[06:29:23]   13100/18401동 | 114,147건 | 3009s
[06:29:27]   13200/18401동 | 114,175건 | 3012s
[06:29:36]   13300/18401동 | 114,527건 | 3021s
[06:29:39]   13400/18401동 | 114,527건 | 3024s
[06:29:44]   13500/18401동 | 114,569건 | 3030s
[06:29:49]   13600/18401동 | 114,569건 | 3035s
[06:29:53]   13700/18401동 | 114,569건 | 3038s
[06:29:55]   13800/18401동 | 114,578건 | 3041s
[06:29:58]   13900/18401동 | 114,578건 | 3043s
[06:30:01]   14000/18401동 | 114,595건 | 3047s
[06:30:05]   14100/18401동 | 114,596건 | 3050s
[06:30:08]   14200/18401동 | 114,598건 | 3054s
[06:30:13]   14300/18401동 | 114,598건 | 3059s
[06:30:27]   14400/18401동 | 115,124건 | 3072s
[06:30:45]   14500/18401동 | 115,947건 | 3090s
[06:30:51]   14600/18401동 | 116,060건 | 3096s
[06:30:56]   14700/18401동 | 116,078건 | 3102s
[06:31:14]   14800/18401동 | 116,692건 | 3120s
[06:31:50]   14900/18401동 | 119,163건 | 3156s
[06:32:58]   15000/18401동 | 119,725건 | 3223s
[06:33:13]   15100/18401동 | 119,852건 | 3239s
[06:33:18]   15200/18401동 | 119,855건 | 3243s
[06:33:21]   15300/18401동 | 119,855건 | 3247s
[06:33:26]   15400/18401동 | 119,855건 | 3251s
[06:33:30]   15500/18401동 | 119,864건 | 3256s
[06:33:34]   15600/18401동 | 119,870건 | 3260s
[06:33:49]   15700/18401동 | 120,377건 | 3275s
[06:34:44]   15800/18401동 | 121,378건 | 3330s
[06:34:51]   15900/18401동 | 121,378건 | 3336s
[06:34:54]   16000/18401동 | 121,382건 | 3340s
[06:34:58]   16100/18401동 | 121,382건 | 3344s
[06:35:02]   16200/18401동 | 121,382건 | 3347s
[06:35:06]   16300/18401동 | 121,382건 | 3351s
[06:35:10]   16400/18401동 | 121,382건 | 3356s
[06:35:14]   16500/18401동 | 121,387건 | 3360s
[06:35:22]   16600/18401동 | 121,629건 | 3367s
[06:35:26]   16700/18401동 | 121,676건 | 3372s
[06:35:52]   16800/18401동 | 122,551건 | 3398s
[06:36:32]   16900/18401동 | 123,844건 | 3437s
[06:36:57]   17000/18401동 | 124,021건 | 3463s
[06:37:02]   17100/18401동 | 124,053건 | 3468s
[06:37:05]   17200/18401동 | 124,053건 | 3471s
[06:37:08]   17300/18401동 | 124,053건 | 3474s
[06:37:14]   17400/18401동 | 124,244건 | 3480s
[06:37:20]   17500/18401동 | 124,314건 | 3485s
[06:37:25]   17600/18401동 | 124,315건 | 3491s
[06:37:29]   17700/18401동 | 124,317건 | 3494s
[06:37:32]   17800/18401동 | 124,322건 | 3498s
[06:37:35]   17900/18401동 | 124,331건 | 3501s
[06:37:40]   18000/18401동 | 124,333건 | 3505s
[06:37:44]   18100/18401동 | 124,387건 | 3509s
[06:37:48]   18200/18401동 | 124,398건 | 3513s
[06:37:49]   18300/18401동 | 124,400건 | 3514s
[06:37:52]   18400/18401동 | 124,400건 | 3518s
[06:37:53]   18401/18401동 | 124,400건 | 3518s
[06:37:53] 💾 저장: 직방_아파트_20260731_053915.csv (124,400건)
[06:37:53] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[06:37:53]   작업: 50673개 (타일 × 유형)
[06:38:00]   100/50673 타일 | 0건 | 3525s
[06:38:05]   200/50673 타일 | 0건 | 3530s
[06:38:09]   300/50673 타일 | 0건 | 3535s
[06:38:14]   400/50673 타일 | 0건 | 3539s
[06:38:19]   500/50673 타일 | 0건 | 3544s
[06:38:24]   600/50673 타일 | 0건 | 3549s
[06:38:28]   700/50673 타일 | 2건 | 3554s
[06:38:33]   800/50673 타일 | 19건 | 3559s
[06:38:38]   900/50673 타일 | 38건 | 3564s
[06:38:43]   1000/50673 타일 | 45건 | 3568s
[06:38:48]   1100/50673 타일 | 49건 | 3573s
[06:38:52]   1200/50673 타일 | 49건 | 3577s
[06:38:57]   1300/50673 타일 | 49건 | 3582s
[06:39:01]   1400/50673 타일 | 49건 | 3587s
[06:39:06]   1500/50673 타일 | 49건 | 3591s
[06:39:10]   1600/50673 타일 | 49건 | 3596s
[06:39:16]   1700/50673 타일 | 49건 | 3601s
[06:39:20]   1800/50673 타일 | 49건 | 3606s
[06:39:25]   1900/50673 타일 | 49건 | 3610s
[06:39:29]   2000/50673 타일 | 49건 | 3615s
[06:39:34]   2100/50673 타일 | 49건 | 3620s
[06:39:39]   2200/50673 타일 | 49건 | 3624s
[06:39:44]   2300/50673 타일 | 49건 | 3629s
[06:39:49]   2400/50673 타일 | 49건 | 3634s
[06:39:53]   2500/50673 타일 | 49건 | 3639s
[06:39:58]   2600/50673 타일 | 49건 | 3643s
[06:40:03]   2700/50673 타일 | 49건 | 3648s
[06:40:08]   2800/50673 타일 | 49건 | 3653s
[06:40:12]   2900/50673 타일 | 49건 | 3658s
[06:40:17]   3000/50673 타일 | 49건 | 3662s
[06:40:22]   3100/50673 타일 | 49건 | 3667s
[06:40:26]   3200/50673 타일 | 54건 | 3672s
[06:40:31]   3300/50673 타일 | 54건 | 3676s
[06:40:35]   3400/50673 타일 | 54건 | 3681s
[06:40:40]   3500/50673 타일 | 54건 | 3686s
[06:40:45]   3600/50673 타일 | 54건 | 3691s
[06:40:50]   3700/50673 타일 | 59건 | 3695s
[06:40:55]   3800/50673 타일 | 67건 | 3701s
[06:41:00]   3900/50673 타일 | 67건 | 3705s
[06:41:05]   4000/50673 타일 | 67건 | 3710s
[06:41:09]   4100/50673 타일 | 67건 | 3715s
[06:41:14]   4200/50673 타일 | 67건 | 3719s
[06:41:19]   4300/50673 타일 | 67건 | 3724s
[06:41:23]   4400/50673 타일 | 67건 | 3729s
[06:41:28]   4500/50673 타일 | 67건 | 3733s
[06:41:33]   4600/50673 타일 | 67건 | 3739s
[06:41:38]   4700/50673 타일 | 67건 | 3743s
[06:41:42]   4800/50673 타일 | 67건 | 3748s
[06:41:47]   4900/50673 타일 | 67건 | 3752s
[06:41:51]   5000/50673 타일 | 67건 | 3757s
[06:41:56]   5100/50673 타일 | 67건 | 3761s
[06:42:01]   5200/50673 타일 | 68건 | 3766s
[06:42:06]   5300/50673 타일 | 69건 | 3772s
[06:42:11]   5400/50673 타일 | 69건 | 3776s
[06:42:15]   5500/50673 타일 | 69건 | 3781s
[06:42:20]   5600/50673 타일 | 69건 | 3785s
[06:42:25]   5700/50673 타일 | 69건 | 3790s
[06:42:29]   5800/50673 타일 | 69건 | 3795s
[06:42:34]   5900/50673 타일 | 69건 | 3799s
[06:42:39]   6000/50673 타일 | 105건 | 3804s
[06:42:44]   6100/50673 타일 | 107건 | 3809s
[06:42:49]   6200/50673 타일 | 142건 | 3814s
[06:42:54]   6300/50673 타일 | 180건 | 3819s
[06:42:58]   6400/50673 타일 | 180건 | 3824s
[06:43:03]   6500/50673 타일 | 180건 | 3828s
[06:43:08]   6600/50673 타일 | 180건 | 3833s
[06:43:12]   6700/50673 타일 | 180건 | 3838s
[06:43:17]   6800/50673 타일 | 180건 | 3842s
[06:43:21]   6900/50673 타일 | 180건 | 3847s
[06:43:26]   7000/50673 타일 | 180건 | 3851s
[06:43:31]   7100/50673 타일 | 203건 | 3856s
[06:43:36]   7200/50673 타일 | 203건 | 3861s
[06:43:42]   7300/50673 타일 | 244건 | 3867s
[06:43:45]     🔍 세분화: 원룸/wy60p → 443건 (p5→6)
[06:43:48]   7400/50673 타일 | 289건 | 3873s
[06:43:53]   7500/50673 타일 | 289건 | 3879s
[06:43:59]   7600/50673 타일 | 296건 | 3884s
[06:44:04]   7700/50673 타일 | 297건 | 3889s
[06:44:09]   7800/50673 타일 | 297건 | 3894s
[06:44:12]     🔍 세분화: 원룸/wy6he → 432건 (p5→6)
[06:44:14]   7900/50673 타일 | 319건 | 3900s
[06:44:21]   8000/50673 타일 | 357건 | 3906s
[06:44:26]   8100/50673 타일 | 357건 | 3912s
[06:44:32]   8200/50673 타일 | 357건 | 3917s
[06:44:34]     🔍 세분화: 원룸/wy6wd → 688건 (p5→6)
[06:44:34]     🔍 세분화: 원룸/wy6wc → 685건 (p5→6)
[06:44:35]     🔍 세분화: 원룸/wy6wf → 1143건 (p5→6)
[06:44:36]     🔍 세분화: 원룸/wy6ws → 486건 (p5→6)
[06:44:41]   8300/50673 타일 | 386건 | 3927s
[06:44:51]   8400/50673 타일 | 404건 | 3936s
[06:44:56]   8500/50673 타일 | 421건 | 3941s
[06:45:00]   8600/50673 타일 | 427건 | 3946s
[06:45:04]     🔍 세분화: 원룸/wy78k → 451건 (p5→6)
[06:45:04]     🔍 세분화: 원룸/wy78p → 431건 (p5→6)
[06:45:04]     🔍 세분화: 원룸/wy78r → 486건 (p5→6)
[06:45:10]   8700/50673 타일 | 499건 | 3956s
[06:45:19]     🔍 세분화: 원룸/wy7ec → 677건 (p5→6)
[06:45:19]   8800/50673 타일 | 588건 | 3964s
[06:45:25]   8900/50673 타일 | 650건 | 3971s
[06:45:28]     🔍 세분화: 원룸/wy7ecu → 416건 (p6→7)
[06:45:29]     🔍 세분화: 원룸/wy7kn → 753건 (p5→6)
[06:45:31]     🔍 세분화: 원룸/wy7m2 → 600건 (p5→6)
[06:45:34]   9000/50673 타일 | 727건 | 3980s
[06:45:41]   9100/50673 타일 | 730건 | 3987s
[06:45:47]   9200/50673 타일 | 751건 | 3993s
[06:45:52]   9300/50673 타일 | 774건 | 3998s
[06:45:57]   9400/50673 타일 | 783건 | 4003s
[06:46:02]   9500/50673 타일 | 783건 | 4008s
[06:46:07]   9600/50673 타일 | 783건 | 4012s
[06:46:11]   9700/50673 타일 | 783건 | 4017s
[06:46:16]   9800/50673 타일 | 783건 | 4021s
[06:46:20]   9900/50673 타일 | 783건 | 4026s
[06:46:25]   10000/50673 타일 | 783건 | 4030s
[06:46:30]   10100/50673 타일 | 783건 | 4035s
[06:46:34]   10200/50673 타일 | 783건 | 4040s
[06:46:39]   10300/50673 타일 | 783건 | 4045s
[06:46:44]   10400/50673 타일 | 783건 | 4049s
[06:46:48]   10500/50673 타일 | 783건 | 4054s
[06:46:53]   10600/50673 타일 | 783건 | 4058s
[06:46:57]   10700/50673 타일 | 783건 | 4063s
[06:47:03]   10800/50673 타일 | 803건 | 4068s
[06:47:07]   10900/50673 타일 | 803건 | 4073s
[06:47:12]   11000/50673 타일 | 803건 | 4078s
[06:47:17]   11100/50673 타일 | 803건 | 4082s
[06:47:21]   11200/50673 타일 | 803건 | 4087s
[06:47:26]   11300/50673 타일 | 803건 | 4091s
[06:47:31]   11400/50673 타일 | 803건 | 4096s
[06:47:36]   11500/50673 타일 | 803건 | 4101s
[06:47:40]   11600/50673 타일 | 803건 | 4106s
[06:47:45]   11700/50673 타일 | 803건 | 4110s
[06:47:49]   11800/50673 타일 | 809건 | 4115s
[06:47:55]     🔍 세분화: 원룸/wyd3m → 583건 (p5→6)
[06:47:55]     🔍 세분화: 원룸/wyd3k → 434건 (p5→6)
[06:47:55]   11900/50673 타일 | 825건 | 4121s
[06:47:56]     🔍 세분화: 원룸/wyd3t → 685건 (p5→6)
[06:48:06]   12000/50673 타일 | 912건 | 4131s
[06:48:09]     🔍 세분화: 원룸/wyd7d → 579건 (p5→6)
[06:48:09]     🔍 세분화: 원룸/wyd77 → 1102건 (p5→6)
[06:48:09]     🔍 세분화: 원룸/wyd7f → 542건 (p5→6)
[06:48:09]     🔍 세분화: 원룸/wyd7g → 548건 (p5→6)
[06:48:11]     🔍 세분화: 원룸/wyd7s → 493건 (p5→6)
[06:48:16]     🔍 세분화: 원룸/wyd8k → 641건 (p5→6)
[06:48:18]     🔍 세분화: 원룸/wyd8t → 466건 (p5→6)
[06:48:26]   12100/50673 타일 | 1,042건 | 4152s
[06:48:33]   12200/50673 타일 | 1,105건 | 4158s
[06:48:38]   12300/50673 타일 | 1,172건 | 4164s
[06:48:38]     🔍 세분화: 원룸/wydh5 → 451건 (p5→6)
[06:48:39]     🔍 세분화: 원룸/wydhk → 553건 (p5→6)
[06:48:43]     🔍 세분화: 원룸/wydj5 → 422건 (p5→6)
[06:48:43]     🔍 세분화: 원룸/wydj4 → 784건 (p5→6)
[06:48:43]     🔍 세분화: 원룸/wydj9 → 409건 (p5→6)
[06:48:43]     🔍 세분화: 원룸/wydj7 → 613건 (p5→6)
[06:48:49]     🔍 세분화: 원룸/wydjp → 619건 (p5→6)
[06:48:51]     🔍 세분화: 원룸/wydjr → 833건 (p5→6)
[06:48:55]     🔍 세분화: 원룸/wydjw → 539건 (p5→6)
[06:48:58]     🔍 세분화: 원룸/wydk4 → 525건 (p5→6)
[06:49:03]     🔍 세분화: 원룸/wydm0 → 609건 (p5→6)
[06:49:03]     🔍 세분화: 원룸/wydm2 → 533건 (p5→6)
[06:49:04]     🔍 세분화: 원룸/wydm6 → 1303건 (p5→6)
[06:49:05]     🔍 세분화: 원룸/wydm8 → 805건 (p5→6)
[06:49:07]   12400/50673 타일 | 1,349건 | 4193s
[06:49:08]     🔍 세분화: 원룸/wydmd → 447건 (p5→6)
[06:49:09]     🔍 세분화: 원룸/wydme → 926건 (p5→6)
[06:49:10]     🔍 세분화: 원룸/wydmf → 1152건 (p5→6)
[06:49:12]     🔍 세분화: 원룸/wydmg → 1381건 (p5→6)
[06:49:22]     🔍 세분화: 원룸/wydmw → 421건 (p5→6)
[06:49:23]     🔍 세분화: 원룸/wydn1 → 530건 (p5→6)
[06:49:30]     🔍 세분화: 원룸/wydq4 → 509건 (p5→6)
[06:49:31]   12500/50673 타일 | 1,404건 | 4217s
[06:49:40]   12600/50673 타일 | 1,504건 | 4225s
[06:49:46]   12700/50673 타일 | 1,556건 | 4232s
[06:49:51]   12800/50673 타일 | 1,575건 | 4237s
[06:49:56]   12900/50673 타일 | 1,593건 | 4241s
[06:50:01]   13000/50673 타일 | 1,607건 | 4246s
[06:50:07]   13100/50673 타일 | 1,617건 | 4252s
[06:50:11]   13200/50673 타일 | 1,617건 | 4257s
[06:50:16]   13300/50673 타일 | 1,617건 | 4261s
[06:50:20]   13400/50673 타일 | 1,617건 | 4266s
[06:50:25]   13500/50673 타일 | 1,617건 | 4271s
[06:50:30]   13600/50673 타일 | 1,617건 | 4275s
[06:50:35]   13700/50673 타일 | 1,618건 | 4280s
[06:50:39]   13800/50673 타일 | 1,626건 | 4285s
[06:50:44]   13900/50673 타일 | 1,626건 | 4289s
[06:50:48]   14000/50673 타일 | 1,626건 | 4294s
[06:50:53]   14100/50673 타일 | 1,626건 | 4298s
[06:50:57]   14200/50673 타일 | 1,626건 | 4303s
[06:51:02]   14300/50673 타일 | 1,626건 | 4307s
[06:51:07]   14400/50673 타일 | 1,626건 | 4312s
[06:51:11]   14500/50673 타일 | 1,626건 | 4317s
[06:51:16]   14600/50673 타일 | 1,629건 | 4322s
[06:51:21]   14700/50673 타일 | 1,629건 | 4326s
[06:51:25]   14800/50673 타일 | 1,629건 | 4331s
[06:51:30]   14900/50673 타일 | 1,629건 | 4335s
[06:51:35]   15000/50673 타일 | 1,629건 | 4340s
[06:51:39]   15100/50673 타일 | 1,629건 | 4344s
[06:51:44]   15200/50673 타일 | 1,629건 | 4349s
[06:51:49]   15300/50673 타일 | 1,629건 | 4354s
[06:51:53]   15400/50673 타일 | 1,629건 | 4359s
[06:51:58]   15500/50673 타일 | 1,629건 | 4363s
[06:52:03]   15600/50673 타일 | 1,629건 | 4368s
[06:52:07]   15700/50673 타일 | 1,629건 | 4373s
[06:52:12]   15800/50673 타일 | 1,629건 | 4378s
[06:52:17]   15900/50673 타일 | 1,632건 | 4383s
[06:52:22]   16000/50673 타일 | 1,632건 | 4387s
[06:52:27]   16100/50673 타일 | 1,632건 | 4392s
[06:52:31]   16200/50673 타일 | 1,632건 | 4397s
[06:52:36]   16300/50673 타일 | 1,632건 | 4402s
[06:52:41]   16400/50673 타일 | 1,632건 | 4407s
[06:52:46]   16500/50673 타일 | 1,632건 | 4412s
[06:52:51]   16600/50673 타일 | 1,632건 | 4416s
[06:52:55]   16700/50673 타일 | 1,632건 | 4421s
[06:53:00]   16800/50673 타일 | 1,632건 | 4425s
[06:53:04]   16900/50673 타일 | 1,632건 | 4430s
[06:53:09]   17000/50673 타일 | 1,632건 | 4435s
[06:53:14]   17100/50673 타일 | 1,632건 | 4439s
[06:53:18]   17200/50673 타일 | 1,632건 | 4444s
[06:53:23]   17300/50673 타일 | 1,632건 | 4448s
[06:53:28]   17400/50673 타일 | 1,632건 | 4453s
[06:53:32]   17500/50673 타일 | 1,632건 | 4458s
[06:53:39]   17600/50673 타일 | 1,637건 | 4464s
[06:53:44]   17700/50673 타일 | 1,663건 | 4470s
[06:53:50]   17800/50673 타일 | 1,675건 | 4475s
[06:53:55]   17900/50673 타일 | 1,676건 | 4481s
[06:54:01]   18000/50673 타일 | 1,683건 | 4486s
[06:54:07]   18100/50673 타일 | 1,683건 | 4492s
[06:54:12]   18200/50673 타일 | 1,683건 | 4498s
[06:54:18]   18300/50673 타일 | 1,683건 | 4503s
[06:54:23]   18400/50673 타일 | 1,683건 | 4509s
