[05:50:16] 캐시 로드: 0개 완료 항목
[05:50:16] ==============================================================
[05:50:16]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:50:16]   precision: 5 → 7 | 세분화 임계: 400건
[05:50:16]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260704
[05:50:16] ==============================================================
[05:50:16] 지오해시 타일: 16891개 (precision=5)
[05:50:16] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:50:25]   읍면동 18401개 확인
[05:50:42]   100/18401동 | 904건 | 27s
[05:50:48]   200/18401동 | 1,229건 | 32s
[05:51:22]   300/18401동 | 4,340건 | 66s
[05:51:44]   400/18401동 | 5,962건 | 88s
[05:53:09]   500/18401동 | 13,716건 | 173s
[05:54:22]   600/18401동 | 19,490건 | 246s
[05:56:05]   700/18401동 | 25,239건 | 349s
[05:57:07]   800/18401동 | 26,631건 | 411s
[05:57:45]   900/18401동 | 29,505건 | 449s
[05:58:59]   1000/18401동 | 33,086건 | 523s
[05:59:13]   1100/18401동 | 33,086건 | 537s
[05:59:51]   1200/18401동 | 37,972건 | 575s
[06:01:11]   1300/18401동 | 45,186건 | 655s
[06:01:18]   1400/18401동 | 45,277건 | 662s
[06:02:11]   1500/18401동 | 46,982건 | 715s
[06:02:48]   1600/18401동 | 50,292건 | 752s
[06:03:04]   1700/18401동 | 51,082건 | 768s
[06:03:56]   1800/18401동 | 54,835건 | 820s
[06:04:23]   1900/18401동 | 55,804건 | 847s
[06:05:07]   2000/18401동 | 58,344건 | 891s
[06:05:52]   2100/18401동 | 58,781건 | 936s
[06:06:39]   2200/18401동 | 62,098건 | 983s
[06:07:26]   2300/18401동 | 66,228건 | 1030s
[06:10:01]   2400/18401동 | 77,106건 | 1185s
[06:11:35]   2500/18401동 | 78,128건 | 1279s
[06:13:35]   2600/18401동 | 81,290건 | 1399s
[06:15:00]   2700/18401동 | 87,280건 | 1484s
[06:15:37]   2800/18401동 | 88,281건 | 1521s
[06:16:10]   2900/18401동 | 89,889건 | 1554s
[06:16:33]   3000/18401동 | 90,501건 | 1577s
[06:17:10]   3100/18401동 | 90,509건 | 1614s
[06:18:14]   3200/18401동 | 92,912건 | 1678s
