[02:57:29] 캐시 로드: 0개 완료 항목
[02:57:29] ==============================================================
[02:57:29]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[02:57:29]   precision: 5 → 7 | 세분화 임계: 400건
[02:57:29]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260822
[02:57:29] ==============================================================
[02:57:29] 지오해시 타일: 16891개 (precision=5)
[02:57:29] 
[1/3] 아파트 수집 ─────────────────────────────────
[02:57:45]   읍면동 18401개 확인
[02:58:11]   100/18401동 | 1,966건 | 43s
[02:58:20]   200/18401동 | 2,436건 | 52s
[02:58:41]   300/18401동 | 4,277건 | 73s
[02:59:08]   400/18401동 | 6,592건 | 100s
[03:00:35]   500/18401동 | 14,301건 | 187s
[03:01:49]   600/18401동 | 20,940건 | 261s
[03:02:42]   700/18401동 | 25,553건 | 314s
[03:03:28]   800/18401동 | 28,725건 | 359s
[03:05:23]   900/18401동 | 30,753건 | 474s
[03:05:26]   1000/18401동 | 30,780건 | 478s
[03:06:10]   1100/18401동 | 33,866건 | 521s
[03:07:26]   1200/18401동 | 38,363건 | 597s
[03:07:42]   1300/18401동 | 39,047건 | 613s
[03:08:58]   1400/18401동 | 46,353건 | 689s
[03:09:23]   1500/18401동 | 46,936건 | 715s
[03:10:09]   1600/18401동 | 50,926건 | 760s
[03:10:42]   1700/18401동 | 53,000건 | 793s
[03:11:24]   1800/18401동 | 56,089건 | 835s
[03:11:58]   1900/18401동 | 57,631건 | 870s
[03:12:40]   2000/18401동 | 60,117건 | 912s
[03:13:27]   2100/18401동 | 60,621건 | 958s
[03:14:01]   2200/18401동 | 62,582건 | 993s
[03:15:35]   2300/18401동 | 70,231건 | 1087s
[03:17:22]   2400/18401동 | 74,210건 | 1194s
[03:18:59]   2500/18401동 | 79,044건 | 1290s
[03:21:12]   2600/18401동 | 83,482건 | 1423s
[03:22:32]   2700/18401동 | 89,340건 | 1503s
[03:23:10]   2800/18401동 | 90,379건 | 1542s
[03:23:30]   2900/18401동 | 91,264건 | 1561s
[03:23:51]   3000/18401동 | 92,371건 | 1582s
[03:24:17]   3100/18401동 | 92,886건 | 1608s
[03:25:21]   3200/18401동 | 96,269건 | 1673s
[03:25:58]   3300/18401동 | 96,395건 | 1709s
[03:27:03]   3400/18401동 | 98,613건 | 1775s
[03:27:55]   3500/18401동 | 99,509건 | 1827s
[03:28:23]   3600/18401동 | 100,156건 | 1854s
[03:29:04]   3700/18401동 | 100,156건 | 1895s
[03:29:09]   3800/18401동 | 100,209건 | 1900s
