[05:15:01] 캐시 로드: 0개 완료 항목
[05:15:01] ==============================================================
[05:15:01]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:15:01]   precision: 5 → 7 | 세분화 임계: 400건
[05:15:01]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260426
[05:15:01] ==============================================================
[05:15:01] 지오해시 타일: 16891개 (precision=5)
[05:15:01] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:15:11]   읍면동 18401개 확인
[05:15:43]   100/18401동 | 2,304건 | 42s
[05:15:49]   200/18401동 | 2,385건 | 48s
[05:16:07]   300/18401동 | 3,623건 | 66s
[05:17:10]   400/18401동 | 8,895건 | 129s
[05:18:15]   500/18401동 | 13,822건 | 193s
[05:19:29]   600/18401동 | 19,864건 | 268s
[05:21:35]   700/18401동 | 24,627건 | 393s
[05:22:27]   800/18401동 | 26,548건 | 446s
[05:23:10]   900/18401동 | 29,187건 | 489s
[05:23:52]   1000/18401동 | 30,696건 | 530s
[05:23:58]   1100/18401동 | 30,696건 | 537s
[05:25:12]   1200/18401동 | 35,145건 | 611s
[05:25:34]   1300/18401동 | 36,360건 | 633s
[05:26:56]   1400/18401동 | 43,385건 | 715s
[05:27:23]   1500/18401동 | 43,999건 | 742s
[05:28:14]   1600/18401동 | 48,021건 | 793s
[05:28:41]   1700/18401동 | 49,832건 | 820s
[05:29:33]   1800/18401동 | 52,895건 | 872s
[05:30:32]   1900/18401동 | 56,609건 | 931s
[05:31:11]   2000/18401동 | 57,293건 | 970s
[05:31:40]   2100/18401동 | 57,551건 | 999s
[05:33:03]   2200/18401동 | 62,318건 | 1082s
[05:35:14]   2300/18401동 | 70,645건 | 1213s
[05:36:56]   2400/18401동 | 70,752건 | 1314s
[05:38:09]   2500/18401동 | 75,916건 | 1388s
[05:40:52]   2600/18401동 | 80,539건 | 1551s
[05:42:08]   2700/18401동 | 86,047건 | 1627s
[05:43:14]   2800/18401동 | 88,943건 | 1693s
[05:44:33]   2900/18401동 | 92,164건 | 1772s
[05:45:25]   3000/18401동 | 94,288건 | 1824s
[05:45:51]   3100/18401동 | 94,581건 | 1850s
[05:46:05]   3200/18401동 | 94,603건 | 1864s
[05:46:26]   3300/18401동 | 95,267건 | 1885s
[05:47:19]   3400/18401동 | 95,267건 | 1937s
[05:47:58]   3500/18401동 | 97,475건 | 1977s
[05:48:57]   3600/18401동 | 97,477건 | 2036s
[05:50:14]   3700/18401동 | 98,691건 | 2113s
[05:50:38]   3800/18401동 | 98,708건 | 2136s
[05:50:42]   3900/18401동 | 98,731건 | 2140s
[05:50:48]   4000/18401동 | 98,782건 | 2146s
[05:50:51]   4100/18401동 | 98,834건 | 2150s
[05:50:58]   4200/18401동 | 98,932건 | 2156s
[05:51:05]   4300/18401동 | 98,957건 | 2164s
[05:51:11]   4400/18401동 | 99,360건 | 2170s
[05:51:41]   4500/18401동 | 100,646건 | 2200s
[05:51:53]   4600/18401동 | 100,750건 | 2212s
[05:51:57]   4700/18401동 | 100,834건 | 2216s
[05:52:01]   4800/18401동 | 100,834건 | 2220s
[05:52:04]   4900/18401동 | 100,876건 | 2223s
[05:52:07]   5000/18401동 | 100,876건 | 2226s
[05:52:09]   5100/18401동 | 100,876건 | 2228s
[05:52:12]   5200/18401동 | 100,880건 | 2230s
[05:52:14]   5300/18401동 | 100,898건 | 2233s
[05:52:17]   5400/18401동 | 100,901건 | 2236s
[05:52:34]   5500/18401동 | 101,080건 | 2253s
[05:52:44]   5600/18401동 | 101,083건 | 2262s
[05:52:58]   5700/18401동 | 101,688건 | 2276s
[05:53:02]   5800/18401동 | 101,691건 | 2281s
[05:53:07]   5900/18401동 | 101,815건 | 2286s
[05:53:22]   6000/18401동 | 101,819건 | 2301s
[05:56:15]   6100/18401동 | 104,859건 | 2473s
[05:56:41]   6200/18401동 | 105,585건 | 2500s
[05:56:55]   6300/18401동 | 106,505건 | 2514s
[05:56:57]   6400/18401동 | 106,505건 | 2516s
[05:57:00]   6500/18401동 | 106,521건 | 2519s
[05:57:04]   6600/18401동 | 106,537건 | 2523s
[05:57:07]   6700/18401동 | 106,542건 | 2525s
[05:57:11]   6800/18401동 | 106,691건 | 2530s
[05:57:24]   6900/18401동 | 106,810건 | 2542s
[05:57:28]   7000/18401동 | 106,872건 | 2547s
[05:57:32]   7100/18401동 | 106,872건 | 2551s
[05:57:35]   7200/18401동 | 106,877건 | 2554s
[05:57:38]   7300/18401동 | 106,877건 | 2557s
[05:57:45]   7400/18401동 | 107,024건 | 2564s
[05:57:55]   7500/18401동 | 107,024건 | 2574s
[05:57:59]   7600/18401동 | 107,039건 | 2578s
[05:58:03]   7700/18401동 | 107,039건 | 2582s
[05:58:16]   7800/18401동 | 107,422건 | 2595s
[05:58:24]   7900/18401동 | 107,422건 | 2603s
[05:58:35]   8000/18401동 | 107,594건 | 2613s
[05:58:42]   8100/18401동 | 107,594건 | 2621s
[05:58:46]   8200/18401동 | 107,677건 | 2625s
[05:58:58]   8300/18401동 | 107,679건 | 2637s
[05:59:02]   8400/18401동 | 107,707건 | 2641s
[05:59:07]   8500/18401동 | 107,814건 | 2645s
[05:59:15]   8600/18401동 | 107,909건 | 2654s
[05:59:23]   8700/18401동 | 108,240건 | 2662s
[05:59:27]   8800/18401동 | 108,242건 | 2666s
[05:59:30]   8900/18401동 | 108,242건 | 2669s
[05:59:33]   9000/18401동 | 108,242건 | 2672s
[05:59:37]   9100/18401동 | 108,245건 | 2676s
[05:59:41]   9200/18401동 | 108,245건 | 2679s
[05:59:44]   9300/18401동 | 108,246건 | 2683s
[05:59:48]   9400/18401동 | 108,246건 | 2686s
[05:59:50]   9500/18401동 | 108,253건 | 2689s
[05:59:53]   9600/18401동 | 108,253건 | 2692s
[06:00:02]   9700/18401동 | 108,408건 | 2701s
[06:00:05]   9800/18401동 | 108,408건 | 2704s
[06:00:08]   9900/18401동 | 108,412건 | 2707s
[06:00:19]   10000/18401동 | 108,521건 | 2718s
[06:00:22]   10100/18401동 | 108,523건 | 2721s
[06:00:25]   10200/18401동 | 108,526건 | 2723s
[06:00:27]   10300/18401동 | 108,526건 | 2726s
[06:00:30]   10400/18401동 | 108,529건 | 2729s
[06:00:40]   10500/18401동 | 108,639건 | 2739s
[06:00:43]   10600/18401동 | 108,639건 | 2742s
[06:00:46]   10700/18401동 | 108,639건 | 2745s
[06:00:49]   10800/18401동 | 108,639건 | 2748s
[06:01:01]   10900/18401동 | 109,055건 | 2760s
[06:01:43]   11000/18401동 | 109,719건 | 2802s
[06:01:46]   11100/18401동 | 109,719건 | 2805s
