[03:08:20] 캐시 로드: 0개 완료 항목
[03:08:20] ==============================================================
[03:08:20]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[03:08:20]   precision: 5 → 7 | 세분화 임계: 400건
[03:08:20]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260826
[03:08:20] ==============================================================
[03:08:20] 지오해시 타일: 16891개 (precision=5)
[03:08:20] 
[1/3] 아파트 수집 ─────────────────────────────────
[03:08:30]   읍면동 18401개 확인
[03:08:53]   100/18401동 | 1,307건 | 32s
[03:09:00]   200/18401동 | 1,587건 | 39s
[03:09:36]   300/18401동 | 4,043건 | 76s
[03:10:20]   400/18401동 | 7,430건 | 120s
[03:12:06]   500/18401동 | 15,643건 | 226s
[03:13:30]   600/18401동 | 21,906건 | 309s
[03:16:02]   700/18401동 | 27,483건 | 462s
[03:16:48]   800/18401동 | 28,379건 | 508s
[03:17:33]   900/18401동 | 31,038건 | 553s
[03:18:03]   1000/18401동 | 31,135건 | 583s
[03:18:07]   1100/18401동 | 31,169건 | 587s
[03:20:07]   1200/18401동 | 38,352건 | 707s
[03:20:42]   1300/18401동 | 42,958건 | 741s
[03:22:10]   1400/18401동 | 48,053건 | 829s
[03:23:08]   1500/18401동 | 50,791건 | 887s
[03:23:21]   1600/18401동 | 51,180건 | 901s
[03:24:22]   1700/18401동 | 54,942건 | 962s
[03:24:58]   1800/18401동 | 56,775건 | 998s
[03:25:29]   1900/18401동 | 56,871건 | 1028s
[03:26:43]   2000/18401동 | 61,735건 | 1102s
[03:27:36]   2100/18401동 | 62,241건 | 1155s
[03:28:14]   2200/18401동 | 64,723건 | 1194s
[03:30:51]   2300/18401동 | 75,287건 | 1351s
[03:32:41]   2400/18401동 | 75,334건 | 1461s
[03:34:20]   2500/18401동 | 82,361건 | 1559s
[03:36:31]   2600/18401동 | 84,961건 | 1690s
[03:37:47]   2700/18401동 | 90,357건 | 1767s
[03:38:09]   2800/18401동 | 90,476건 | 1789s
[03:39:05]   2900/18401동 | 92,489건 | 1845s
[03:39:42]   3000/18401동 | 93,591건 | 1881s
[03:40:26]   3100/18401동 | 93,596건 | 1925s
[03:40:55]   3200/18401동 | 94,249건 | 1954s
[03:41:15]   3300/18401동 | 94,249건 | 1975s
[03:42:31]   3400/18401동 | 97,292건 | 2051s
[03:43:33]   3500/18401동 | 98,310건 | 2112s
[03:44:17]   3600/18401동 | 98,725건 | 2157s
[03:45:56]   3700/18401동 | 101,374건 | 2256s
[03:46:05]   3800/18401동 | 101,412건 | 2265s
[03:46:10]   3900/18401동 | 101,465건 | 2270s
[03:46:13]   4000/18401동 | 101,481건 | 2273s
[03:46:17]   4100/18401동 | 101,481건 | 2277s
[03:46:27]   4200/18401동 | 101,593건 | 2287s
[03:46:38]   4300/18401동 | 101,845건 | 2297s
[03:46:51]   4400/18401동 | 102,767건 | 2310s
[03:47:26]   4500/18401동 | 103,419건 | 2346s
[03:47:31]   4600/18401동 | 103,483건 | 2351s
[03:47:35]   4700/18401동 | 103,483건 | 2355s
[03:47:38]   4800/18401동 | 103,511건 | 2358s
[03:47:41]   4900/18401동 | 103,511건 | 2361s
[03:47:44]   5000/18401동 | 103,511건 | 2363s
[03:47:46]   5100/18401동 | 103,515건 | 2366s
[03:47:49]   5200/18401동 | 103,589건 | 2369s
[03:47:52]   5300/18401동 | 103,593건 | 2372s
[03:47:56]   5400/18401동 | 103,593건 | 2375s
[03:47:59]   5500/18401동 | 103,612건 | 2379s
[03:48:06]   5600/18401동 | 103,777건 | 2385s
[03:48:41]   5700/18401동 | 105,672건 | 2420s
[03:48:52]   5800/18401동 | 105,687건 | 2432s
[03:50:03]   5900/18401동 | 108,194건 | 2503s
[03:52:01]   6000/18401동 | 108,410건 | 2621s
[03:52:12]   6100/18401동 | 108,667건 | 2632s
[03:52:23]   6200/18401동 | 108,788건 | 2643s
[03:52:39]   6300/18401동 | 108,853건 | 2658s
[03:52:41]   6400/18401동 | 108,853건 | 2661s
[03:52:59]   6500/18401동 | 109,566건 | 2678s
[03:53:03]   6600/18401동 | 109,589건 | 2682s
[03:53:05]   6700/18401동 | 109,589건 | 2685s
[03:53:08]   6800/18401동 | 109,630건 | 2688s
[03:53:11]   6900/18401동 | 109,630건 | 2691s
[03:53:15]   7000/18401동 | 109,632건 | 2695s
[03:53:19]   7100/18401동 | 109,632건 | 2699s
[03:53:22]   7200/18401동 | 109,637건 | 2702s
[03:53:24]   7300/18401동 | 109,637건 | 2704s
[03:53:42]   7400/18401동 | 109,878건 | 2721s
[03:53:46]   7500/18401동 | 109,878건 | 2726s
[03:53:50]   7600/18401동 | 109,887건 | 2729s
[03:53:56]   7700/18401동 | 110,041건 | 2736s
[03:54:04]   7800/18401동 | 110,041건 | 2744s
[03:54:07]   7900/18401동 | 110,041건 | 2747s
[03:54:13]   8000/18401동 | 110,141건 | 2753s
[03:54:21]   8100/18401동 | 110,455건 | 2761s
[03:54:26]   8200/18401동 | 110,522건 | 2765s
[03:54:32]   8300/18401동 | 110,522건 | 2772s
[03:54:46]   8400/18401동 | 110,833건 | 2786s
[03:54:53]   8500/18401동 | 110,833건 | 2792s
[03:54:56]   8600/18401동 | 110,835건 | 2795s
[03:54:59]   8700/18401동 | 110,835건 | 2799s
[03:55:02]   8800/18401동 | 110,835건 | 2802s
[03:55:06]   8900/18401동 | 110,838건 | 2805s
[03:55:14]   9000/18401동 | 110,973건 | 2814s
[03:55:18]   9100/18401동 | 110,974건 | 2818s
[03:55:22]   9200/18401동 | 110,974건 | 2822s
[03:55:26]   9300/18401동 | 110,993건 | 2826s
[03:55:30]   9400/18401동 | 111,081건 | 2830s
[03:55:36]   9500/18401동 | 111,084건 | 2836s
