[06:11:53] 캐시 로드: 0개 완료 항목
[06:11:53] ==============================================================
[06:11:53]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:11:53]   precision: 5 → 7 | 세분화 임계: 400건
[06:11:53]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260519
[06:11:53] ==============================================================
[06:11:53] 지오해시 타일: 16891개 (precision=5)
[06:11:53] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:12:04]   읍면동 18401개 확인
[06:12:27]   100/18401동 | 1,511건 | 34s
[06:12:43]   200/18401동 | 2,105건 | 49s
[06:13:04]   300/18401동 | 3,160건 | 71s
[06:14:22]   400/18401동 | 9,957건 | 149s
[06:15:06]   500/18401동 | 12,290건 | 193s
[06:16:52]   600/18401동 | 20,431건 | 298s
[06:19:00]   700/18401동 | 24,610건 | 426s
[06:19:45]   800/18401동 | 25,962건 | 472s
[06:20:38]   900/18401동 | 28,916건 | 524s
[06:21:33]   1000/18401동 | 30,651건 | 580s
[06:21:47]   1100/18401동 | 31,026건 | 593s
[06:22:42]   1200/18401동 | 35,227건 | 649s
[06:24:46]   1300/18401동 | 43,282건 | 773s
[06:25:11]   1400/18401동 | 43,853건 | 797s
[06:26:04]   1500/18401동 | 46,581건 | 851s
[06:26:44]   1600/18401동 | 48,771건 | 890s
[06:27:34]   1700/18401동 | 51,560건 | 940s
[06:28:21]   1800/18401동 | 53,977건 | 988s
[06:28:54]   1900/18401동 | 54,536건 | 1021s
[06:29:54]   2000/18401동 | 57,482건 | 1081s
[06:30:59]   2100/18401동 | 58,195건 | 1146s
[06:32:02]   2200/18401동 | 61,882건 | 1208s
[06:33:57]   2300/18401동 | 70,112건 | 1324s
[06:36:09]   2400/18401동 | 71,877건 | 1456s
[06:38:09]   2500/18401동 | 75,287건 | 1576s
[06:40:51]   2600/18401동 | 81,105건 | 1738s
[06:42:20]   2700/18401동 | 86,781건 | 1827s
[06:43:28]   2800/18401동 | 89,137건 | 1895s
[06:44:16]   2900/18401동 | 90,338건 | 1943s
[06:44:40]   3000/18401동 | 90,669건 | 1967s
[06:44:54]   3100/18401동 | 90,669건 | 1981s
[06:45:29]   3200/18401동 | 91,277건 | 2016s
[06:46:11]   3300/18401동 | 91,277건 | 2057s
[06:47:48]   3400/18401동 | 94,685건 | 2154s
[06:49:19]   3500/18401동 | 96,612건 | 2246s
[06:50:03]   3600/18401동 | 98,707건 | 2289s
[06:51:09]   3700/18401동 | 98,709건 | 2356s
[06:51:37]   3800/18401동 | 98,759건 | 2384s
[06:51:41]   3900/18401동 | 98,776건 | 2388s
[06:51:45]   4000/18401동 | 98,829건 | 2392s
